Label,sample_type,CLO_C,CLO_4o,CL_C,CL_4o,UBERON_C,UBERON_4o,BTO_C,BTO_4o,UBERON_t2t,BTO_t2t,CLO_t2t,CL_t2t
SNU484,CL,-,CLO_0007737,CL_0002659,CL_0000000,UBERON_0000945,UBERON_0000000,BTO_0003479,BTO_0001169,-,BTO_0003479,CLO_0035852,-
MCF10CA1a_breast_metastatic_epithelial_cells,CL,CLO_0007599,CLO_0002871,CL_0002327,CL_0002321,UBERON_0000310,UBERON_0000310,-,BTO_0001167,CL_0002327,BTO_0001211,CL_0000066,CL_0002327
kelly_DMSO_3h,CL,CLO_0007091,CLO_0002766,CL_0000031,CL_0002323,UBERON_0000955,UBERON_0000178,BTO_0006213,BTO_0000224,UBERON_0010938,BTO_0006213,CLO_0007091,-
gastric adenocarcinoma cell line:MKN45,CL,CLO_0037142,CLO_0002770,CL_0002659,CL:0009040,UBERON_0000945,UBERON:0000945,BTO_0002381,BTO:0003158,UBERON_0009870,BTO_0002380,DOID_3717,UBERON_0009870
BT20,CL,-,CLO_0003624,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0001466,BTO_0000217,-,BTO_0001466,CLO_0001765,-
testicular germ cell embryonal carcinoma cell line:NEC14,CL,CLO_0051392,CLO_0034247,CL_0000015,CL_0002247,UBERON_0000473,UBERON_0000000,-,BTO_0002923,CL_0000039,BTO_0004229,DOID_5557,CL_0000039
SU-DHL-4,CL,CLO_0037061,CLO_0002496,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0006462,BTO_0001037,-,BTO_0004076,DOID_8567,-
PrEC,CL,-,CLO_0050137,CL_0002231,CL_0002220,UBERON_0002367,UBERON_0002367,BTO_0005301,BTO_0000959,UBERON_0019320,BTO_0003160,CL_0011115,CL_0002401
IMR-90,CL,CLO_0006951,CLO_0001917,CL_0002553,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0001229,BTO_0000247,-,BTO_0001229,CLO_0006947,-
diffuse large B-cell lymphoma cell line:CTB-1,CL,CLO_0050077,CLO_0003632,CL_0000236,CL_0000236,UBERON_0000178,UBERON_0000465,-,BTO_0003005,UBERON_2000193,BTO_0006365,DOID_0060058,CL_4033027
NCI0075,CL,-,CLO_0050991,-,CL_0000057,UBERON_0001134,UBERON_0000029,-,BTO_0000014,UBERON_0007550,-,CLO_0034551,-
226LDM_normal_breast_luminal_cells,CL,-,CLO_0007341,CL_0002326,CL_0002323,UBERON_0000310,UBERON_0000310,-,BTO_0000208,UBERON_0000310,BTO_0005437,PATO_0000461,PATO_0000461
SW620_colon_adenocarcinoma,CL,CLO_0009221,CLO_0007777,CL_0011108,CL_0000182,UBERON_0001155,UBERON_0001155,BTO_0000675,BTO_0005081,UBERON_0001155,BTO_0000032,DOID_234,UBERON_0001155
KOPN-8,CL,CLO_0037178,CLO_0003654,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0006794,-,BTO_0004944,CLO_0037178,-
OACM5.1,CL,-,CLO_0000264,CL_0002252,CL_0000034,UBERON_0001043,UBERON_0002370,-,BTO_0006377,-,-,-,-
NCI-H378_p8-15,CL,CLO_0008086,CLO_0003509,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0000959,-,BTO_0003764,CLO_0008086,-
SW872_TAZ_CAMTA1,CL,CLO_0009201,CLO_0050851,CL_0000136,CL_0000000,UBERON_0002384,UBERON_0000000,BTO_0003743,BTO_0004851,PR_000007857,BTO_0003743,CLO_0037071,PR_000007857
adenocarcinoma cell line:IM95m,CL,-,CLO_0037170,CL_0002178,CL_0009045,UBERON_0000945,UBERON_0002395,-,BTO_0002845,CHEBI_16335,BTO_0000167,DOID_299,-
BJ,CL,CLO_0001980,CLO_0001613,CL_1001608,CL_0000515,UBERON_0001332,UBERON_0000948,BTO_0003807,BTO_0000197,CL_1001608,BTO_0003807,CLO_0001980,CL_1001608
RL95-2,CL,CLO_0008830,CLO_0009024,CL_0002149,-,UBERON_0001295,-,BTO_0004491,BTO_0000850,UBERON_0013734,BTO_0004491,CLO_0008830,-
Y79,CL,CLO_0009709,CLO_0002075,-,CL_0000000,UBERON_0000966,UBERON_0000000,-,BTO_0000753,-,-,CLO_0009709,PR_000001919
mesothelioma cell line:Mero-84,CL,-,CLO_0008005,CL_0000077,CL_0000000,UBERON_0002048,UBERON_0000000,-,BTO_0001234,CL_0000077,BTO_0002424,CL_0000077,CL_0000077
gm19240,CL,CLO_0027143,CLO_0037125,CL_0000236,CL_0000044,UBERON_0000178,UBERON_0001062,-,BTO_0003884,-,-,CLO_0027143,-
signet ring carcinoma cell line:NUGC-4,CL,CLO_0050789,CLO_0006059,CL_0002178,CL_0000000,UBERON_0000945,UBERON_0000000,BTO_0005917,BTO_0000763,GO_0023052,BTO_0000297,DOID_8025,GO_0023052
iPS_19.11,CL,CLO_0037308,CLO_0006274,CL_0002248,CL_0000034,-,UBERON_0000955,-,BTO_0002869,UBERON_2000977,-,CLO_0003163,UBERON_0009095
A549_dexamethasone_12h,CL,CLO_0001601,CLO_0000152,CL_0000082,CL_0000011,UBERON_0002048,UBERON_0000178,BTO_0000018,BTO_0000390,-,-,CLO_0001601,-
anaplastic large cell lymphoma cell line:Ki-JK,CL,-,CLO_0002801,CL_0000542,CL_0000759,UBERON_0000178,UBERON_0000468,-,BTO_0002892,CL_0002253,BTO_0004868,DOID_0050747,CL_0002253
H1 Derived Mesenchymal Stem Cells,CL,-,CLO_0031936,CL_0000134,CL_0000134,UBERON_0003104,UBERON_0004757,BTO_0003298,BTO_0001490,CL_0000134,BTO_0003298,CL_0000134,CL_0000134
H1 Derived Neuronal Progenitor Cultured Cells,CL,-,CLO_0037169,CL_0011020,CL_0000049,UBERON_0000922,UBERON_0001016,-,BTO_0003065,CL_0011026,BTO_0000214,CL_0000010,CL_0011020
Molt4,CL,CLO_0007825,CLO_0007677,CL_0000084,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0000873,BTO_0002560,GO_0042303,BTO_0004870,CLO_0007824,GO_0042303
squamous cell carcinoma cell line:T3M-5,CL,-,CLO_0007712,CL_0000076,CL:0002547,UBERON_0002046,UBERON:0000033,-,BTO:0003079,CL_0000076,BTO_0002024,DOID_1749,CL_0000076
SVOG3e_cells_Dox_12h_transduced with V5-FOXL2 C134W,CL,-,CLO_0011538,CL_0000501,CL_0002573,UBERON_0000992,UBERON_0000105,-,BTO_0001265,-,-,-,-
du145,CL,CLO_0002840,CLO_0002310,CL_0002231,CL_0000000,UBERON_0002367,UBERON_0000000,BTO_0001332,BTO_0000190,-,BTO_0001332,CLO_0002840,PR_000001254
leiomyoma cell line:10964C,CL,-,CLO_0009609,CL_0000192,CL_0000000,UBERON_0000995,UBERON_0000000,-,BTO_0000171,-,BTO_0002694,CLO_0023367,-
DAUDI,CL,CLO_0002708,CLO_0003694,CL_0000236,CL_0000945,UBERON_0000178,UBERON_0000000,BTO_0001561,BTO_0000211,UBERON_0001686,BTO_0001561,CLO_0002708,UBERON_0001686
BE2C_DMSO,CL,-,CLO_0007782,CL_0000031,CL_0000000,UBERON_0000955,UBERON_0000000,BTO_0004782,BTO_0002657,-,-,CLO_0001922,ENSEMBL_ENSG00000175063
MDA-MB-231-Erbeta_E2_TNFa,CL,CLO_0007634,CLO_0007700,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0000815,BTO_0001578,-,-,-,-
DHL-9,CL,-,CLO_0030881,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0001617,BTO_0000915,UBERON_0004608,BTO_0004076,DOID_8567,-
ZR_75_1,CL,-,CLO_0002551,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0003136,BTO_0000820,UBERON_8490047,BTO_0004919,CLO_0003213,PR_000001026
U2OS_osteosarcoma_SHRCTR,CL,CLO_0009454,CLO_0002759,CL_0001035,CL_0000342,UBERON_0002481,UBERON_0003832,BTO_0001938,BTO_0000824,PR_P01101,BTO_0000970,EFO_0000637,PR_P01101
LNCaP_prostate_carcinoma_SIFOXA1_TNFA,CL,CLO_0007365,CLO_0002764,CL_0002231,CL_0000182,UBERON_0002367,UBERON_0002367,BTO_0001321,BTO_0001096,UBERON_0002367,BTO_0002021,DOID_10286,UBERON_0002367
NCI-H1963,CL,CLO_0008034,CLO_0007769,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0005976,BTO_0005826,-,BTO_0005976,CLO_0008034,-
BIN-67_SMARCA4.T910M,CL,-,CLO_0002225,-,CL_0000007,UBERON_0000992,UBERON_0000463,-,BTO_0000227,UBERON_0003884,BTO_0005818,-,UBERON_0003884
JR1 shCtrl,CL,-,CLO_0050309,-,CL_0000000,UBERON_0005090,UBERON_0000000,-,BTO_0000000,-,-,-,-
EndoC-BH1_human_pancreatic_beta_cell_line,CL,-,CLO_0037161,CL_0000169,CL_0000169,UBERON_0001264,UBERON_0001264,-,BTO_0004509,CL_0000169,BTO_0000716,UBERON_0000016,CL_0000169
Burkitt's lymphoma cell line:RAJI,CL,CLO_0008734,CLO_0000285,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0001154,BTO_0000221,NCBITAXON_7858,BTO_0000889,DOID_8584,PR_000001209
retinoblastoma cell line:Y79,CL,CLO_0009709,CLO_0007713,-,CL_0000000,UBERON_0000966,UBERON_0000000,-,BTO_0000293,CL_0009004,BTO_0002919,DOID_768,CL_4023129
Colo205,CL,CLO_0002544,CLO_0003156,CL_0011108,CL_0000000,UBERON_0001155,UBERON_0000000,BTO_0000179,BTO_0003087,UBERON_0001155,BTO_0000179,CLO_0002544,PR_000001026
ONE58,CL,-,CLO_0009205,CL_1000491,CL_0000000,UBERON_0000977,UBERON_0000000,-,BTO_0003463,UBERON_0000106,-,UBERON_0000106,UBERON_0000106
HASM2_Human_airway_smooth_muscle_2,CL,-,CLO_0022672,CL_0000192,CL_0000353,UBERON_0004225,UBERON_0000383,-,BTO_0000614,UBERON_0000953,BTO_0001260,UBERON_0001135,UBERON_0001135
A549_0h_sciCAR,CL,CLO_0001601,CLO_0000011,CL_0000082,CL_0000115,UBERON_0002048,UBERON_0000178,BTO_0000018,BTO_0000014,-,BTO_0005816,CLO_0001601,-
JEG-3,CL,CLO_0007017,CLO_0007572,CL_0000066,CL_NULL,UBERON_0001987,UBERON_NULL,BTO_0002269,BTO_0000253,UBERON_2002106,BTO_0002269,CLO_0007017,CL_0000815
KM12SM,CL,-,CLO_0003121,CL_0011108,CL_0002319,UBERON_0001155,UBERON_0000479,-,BTO_0002732,-,-,CLO_0009965,-
786-O_empty_vector,CL,CLO_0001486,CLO_0009758,CL_1000497,CL_0000000,UBERON_0002113,UBERON_0000000,-,BTO_0000565,-,-,-,-
acute myeloid leukemia (FAB M7) cell line:M-MOK,CL,CLO_0051548,CLO_0002610,CL_0000553,CL_0000000,UBERON_0002371,UBERON_0000000,-,BTO_0001258,CL_0000763,BTO_0001883,DOID_9119,PR_000014362
TC-797,CL,-,CLO_0003673,CL_0000076,CL_0000000,UBERON_0002370,UBERON_0000000,-,BTO_0004348,UBERON_0015797,-,CLO_0023712,CL_0000484
A375,CL,CLO_0001582,CLO_0002766,CL_2000000,CL_0000000,UBERON_0001003,UBERON_0000000,BTO_0002806,BTO_0000005,UBERON_0006478,BTO_0002806,CLO_0001581,-
U-937 DE-4,CL,CLO_0050122,CLO_0002730,CL_0000576,CL_0000236,UBERON_0000178,UBERON_0000468,BTO_0001412,BTO_0000223,-,BTO_0001412,CLO_0009450,-
T3M4 wt,CL,CLO_0050113,CLO_0051583,CL_0000083,CL_0000048,UBERON_0001264,UBERON_0001062,BTO_0002864,BTO_0000890,-,BTO_0002864,CLO_0007481,-
HepG2 hepatocellular carcinoma,CL,CLO_0003704,CLO_0002043,CL_0000182,CL_0000182,UBERON_0002107,UBERON_0008954,BTO_0000599,BTO_0000664,CL_0000182,BTO_0000608,DOID_684,CL_0000182
MCF7_FASR,CL,CLO_0007606,CLO_0007658,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0000093,BTO_0000471,UBERON_0006908,BTO_0002930,CLO_0007606,UBERON_0006908
U-937,CL,CLO_0009465,CLO_0002341,CL_0000576,CL_0000946,UBERON_0000178,UBERON_0000468,-,BTO_0002149,-,BTO_0001412,CLO_0009450,CHEBI_9937
CLB-GA-control,CL,-,CLO_0002686,CL_0000031,CL_0000000,UBERON_0001016,UBERON_0000000,-,BTO_0000297,GO_0003071,-,PATO_0001690,GO_0003071
DUCaP_prostate_carcinoma,CL,-,CLO_0007820,CL_0002231,CL_0002322,UBERON_0002367,UBERON_0002367,-,BTO_0006027,UBERON_0002485,BTO_0002021,DOID_10286,UBERON_0002485
lung adenocarcinoma cell line:PC-14,CL,CLO_0008394,CLO_0050620,CL_0000082,CL_0000359,UBERON_0002048,UBERON_0008952,BTO_0002877,BTO_0002834,UBERON_0002048,BTO_0001911,DOID_3910,UBERON_0002048
NCCIT_testicular_embryonic_carcinoma,CL,CLO_0007955,CLO_0009061,CL_0002248,CL_0009001,UBERON_0005051,UBERON_0000473,BTO_0004180,BTO_0006708,UBERON_0001144,BTO_0005511,DOID_3308,UBERON_0001144
293T_2_high,CL,CLO_0037372,CLO_0000018,CL_0002518,CL_0000453,UBERON_0002113,UBERON_0000468,BTO_0002181,BTO_0000703,UBERON_0000376,BTO_0001376,UBERON_0000376,UBERON_0000376
MDA-MB-453_breast_adenocarcinoma_DHT,CL,CLO_0007640,CLO_0003278,CL_0002327,CL_0002320,UBERON_0000310,UBERON_0000310,BTO_0001908,BTO_0000225,UBERON_0000310,BTO_0001912,DOID_3458,UBERON_0000310
JB6_Human_anaplastic_large_cell_lymphoma,CL,-,CLO_0007324,CL_0000542,CL_0001053,UBERON_0000178,UBERON_0002394,-,BTO_0000118,NCBITAXON_9606,BTO_0002505,DOID_0050747,NCBITAXON_9606
HUVEC-C_HUVEC_umbilical_vein_endothelial_cells_TNF_0M,CL,CLO_0004307,CLO_0002695,CL_0002618,CL_0002618,UBERON_0002331,UBERON_0002060,BTO_0001949,BTO_0000232,CL_0002618,BTO_0004296,CLO_0000780,CL_0002618
SK-N-MC_Askin_tumor_SHGFP_96H,CL,CLO_0009058,CLO_0007028,CL_0000031,CL_0002325,UBERON_0000955,UBERON_0002688,BTO_0002914,BTO_0000558,UBERON_0000014,BTO_0004260,DOID_0050608,UBERON_0000014
gm19238,CL,CLO_0027146,CLO_0000194,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0000225,UBERON_0005238,-,CLO_0027146,CHEBI_35238
H1-NPC,CL,-,CLO_0037294,CL_0011020,CL_0006097,UBERON_0000922,UBERON_0002028,-,BTO_0005579,UBERON_0001965,BTO_0005498,CLO_0037518,PATO_0070030
H3396_breast_carcinoma,CL,-,CLO_0002712,CL_0002327,CL_0002325,UBERON_0000310,UBERON_0000310,-,BTO_0000186,UBERON_0000310,BTO_0000185,DOID_3459,UBERON_0000310
MCF-10A,CL,CLO_0007599,CLO_0050084,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,-,BTO_0001237,UBERON_0002691,BTO_0001939,CLO_0007599,-
CRL-7250,CL,-,CLO_0003893,CL_0000057,CL_0000000,UBERON_0002384,UBERON_0000000,-,BTO_0002889,-,-,CLO_0014397,-
WPMY-1,CL,CLO_0009628,CLO_0050826,CL_0002622,CL_0000000,UBERON_0002367,UBERON_0000000,BTO_0003708,BTO_0002044,-,BTO_0003708,CLO_0009628,-
ps15-u2os-eto,CL,CLO_0009454,CLO_0009018,CL_0001035,CL_0000266,UBERON_0002481,UBERON_0000468,BTO_0001938,BTO_0000014,-,-,CLO_0008498,-
T24_1_low,CL,CLO_0009245,CLO_0002873,CL_1001319,CL:0000003,UBERON_0001255,UBERON_0002384,BTO_0001345,BTO:0003205,PATO_0002078,BTO_0000635,CLO_0009245,PATO_0001796
SW-13,CL,CLO_0009209,CLO_0007946,CL_1001601,CL_0000000,UBERON_0009753,UBERON_0000000,-,BTO_0002849,UBERON_2000975,-,CLO_0009185,PR_000001206
HPBALL,CL,CLO_0003817,CLO_0007393,CL_0000084,CL_0000057,UBERON_0000178,UBERON_0000178,BTO_0001952,BTO_0001603,UBERON_2000006,BTO_0001952,CLO_0003817,UBERON_0036925
A-375,CL,CLO_0001582,CLO_0002874,CL_2000000,CL_0000000,UBERON_0001003,UBERON_0000000,BTO_0002806,BTO_0000014,-,BTO_0002806,CLO_0001544,-
SK-BR-3_breast_adenocarcinoma_EGF,CL,CLO_0009034,CLO_0003684,CL_0002327,CL_0000186,UBERON_0000310,UBERON_0001911,BTO_0002419,BTO_0000284,UBERON_0000310,BTO_0001912,DOID_3458,UBERON_0000310
RCC_7860_Renal_cell_carcinoma,CL,CLO_0001486,CLO_0007980,CL_1000497,CL_0009026,UBERON_0002113,UBERON_0001727,-,BTO_0002108,UBERON_0005215,BTO_0000037,DOID_4450,UBERON_0005215
HUES8 WT,CL,-,CLO_0002096,CL_0002322,CL_0000034,UBERON_0000922,UBERON_0000468,-,BTO_0003121,-,BTO_0002158,CLO_0009865,-
B-CPAP,CL,CLO_0001906,CLO_0007854,CL_0002257,CL_N/A,UBERON_0002046,UBERON_N/A,BTO_0004736,BTO_0000517,-,BTO_0004736,CLO_0002599,-
esc-h1-3il,CL,CLO_0037281,CLO_0003676,CL_0002322,CL_0002322,UBERON_0000922,UBERON_0000468,BTO_0006080,BTO_0003191,-,-,CLO_0037281,CL_0002322
iPS-18 Cells,CL,-,CLO_0009256,CL_0002248,CL_0001034,-,UBERON_0000470,-,BTO_0003247,UBERON_2000795,-,CLO_0003162,CL_1000597
SF9402,CL,-,CLO_0009059,-,CL_0000000,UBERON_0000955,UBERON_0000000,-,BTO_0005035,-,BTO_0000678,CLO_0011854,-
NKM-1,CL,CLO_0009850,CLO_0003054,CL_0000763,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0000563,UBERON_3010310,-,CLO_0009850,CL_0000623
IMR-90_senescent,CL,CLO_0006951,CLO_0008238,CL_0002553,CL_0000000,UBERON_0002048,UBERON_0000000,BTO_0001229,BTO_0000348,GO_0003142,BTO_0002068,-,PATO_0001870
OPK,CL,-,CLO_0000651,CL_1000497,CL_0000540,UBERON_0002113,UBERON_0014258,-,BTO_0001588,PATO_0000610,-,CLO_0008447,PATO_0000610
SK-N-BE_2_-C_resistant_vehicle,CL,CLO_0009053,CLO_0007781,CL_0000031,CL_0000000,UBERON_0001016,UBERON_0000000,BTO_0004782,BTO_0000207,GO_0031982,-,GO_0031982,GO_0031982
GM06170_fetal_skin_fibroblasts,CL,CLO_0023567,CLO_0004569,CL_0002620,CL_0002578,UBERON_0001003,UBERON_0000015,-,BTO_0001236,CL_0002620,BTO_0001255,CL_0002620,CL_0002620
U2OS_siNC,CL,CLO_0009454,CLO_0007764,CL_0001035,CL_0000182,UBERON_0002481,UBERON_0000468,BTO_0001938,BTO_0003103,UBERON_0002342,-,UBERON_0002342,-
H1_Derived_Neuronal_Progenitor_Cultured_Cells,CL,-,CLO_0007433,CL_0011020,CL_0007054,UBERON_0000922,UBERON_0001016,-,BTO_0005885,CL_0011026,BTO_0000214,CL_0000010,CL_0011020
Hs 132.T,CL,CLO_0003848,CLO_0007362,CL_0000057,CL_0000000,UBERON_0002384,UBERON_0000000,-,BTO_0006879,-,BTO_0004879,CLO_0007140,-
leiomyoma cell line:15425,CL,-,CLO_0007844,CL_0000192,CL_0000000,UBERON_0000995,UBERON_0000000,-,BTO_0000869,CL_0002366,BTO_0002694,CLO_0014245,-
H9_Null+EZH2,CL,CLO_0003612,CLO_0007284,CL_0000084,CL_0000236,UBERON_0000178,UBERON_0000468,BTO_0001944,BTO_0002871,-,BTO_0004716,CLO_0003612,CL_0000585
H1-ESC,CL,CLO_0037281,CLO_0003671,CL_0002322,CL_0002139,UBERON_0000922,UBERON_0000105,BTO_0006080,BTO_0002372,UBERON_0022254,BTO_0006080,CLO_0037281,CL_0002322
RS4_11_DMSO_4h,CL,CLO_0008883,CLO_0004053,CL_0000945,CL_0000055,UBERON_0002371,UBERON_0000468,BTO_0004505,BTO_0002753,-,BTO_0004505,CLO_0008883,-
H69_TGF beta_16h_1,CL,CLO_0008105,CLO_0003120,CL_0000082,CL_0002319,UBERON_0002048,UBERON_0005764,BTO_0003022,BTO_0003639,-,-,CLO_0003609,-
MOLT-4,CL,CLO_0007825,CLO_0007766,CL_0000084,CL_0000011,UBERON_0000178,UBERON_0001062,BTO_0000873,BTO_0000778,UBERON_7500055,BTO_0004870,CLO_0007824,GO_0042303
CCLP1,CL,-,CLO_0037224,CL_0000068,CL_0000000,UBERON_0002394,UBERON_0000000,BTO_0002933,BTO_0007001,-,BTO_0002933,CLO_0007380,PR_000001860
MM1S,CL,CLO_0037203,CLO_0002689,CL_0000945,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0003933,BTO_0002769,PR_000001898,BTO_0003933,CLO_0037203,PR_000001898
1_H1_ESCs_with_99_fibroblsat,CL,CLO_0037281,CLO_0007684,CL_0002322,CL_0002322,UBERON_0000922,UBERON_0002048,BTO_0006080,BTO_0000199,CL_0000057,BTO_0000452,CL_0000057,CL_0000057
UCLA1-hESCs,CL,-,CLO_0034603,CL_0002322,CL_0000034,UBERON_0000922,UBERON_0000468,-,BTO_0003249,NCBITAXON_6447,BTO_0006080,CLO_0007227,-
chronic lymphocytic leukemia (T-CLL) cell line:SKW-3,CL,CLO_0009068,CLO_0007653,CL_0000084,CL_0000832,UBERON_0000178,UBERON_0002046,BTO_0006057,BTO_0000565,PR_000016043,BTO_0001546,DOID_1040,PR_000016043
HCC1954_Parental,CL,CLO_0003647,CLO_0007781,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,BTO_0005368,BTO_0006571,CHEBI_33245,BTO_0005368,CLO_0003647,UBERON_0008987
MCF7_WS8_cells,CL,-,CLO_0002971,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,-,BTO_0000292,-,-,CLO_0007606,-
M112,CL,-,CLO_0002752,CL_0001035,CL_0000542,UBERON_0002481,UBERON_6007329,-,BTO_0000800,UBERON_0004112,BTO_0003724,CLO_0022973,CL_0003044
SET2_Adult_acute_megakaryoblastic_leukemia_Homo_Sapiens,CL,-,CLO_0032129,CL_0000553,CL_0000842,UBERON_0002371,UBERON_0000178,-,BTO_0005376,NCBITAXON_9606,BTO_0004963,NCBITAXON_9606,NCBITAXON_9606
OCI_LY7,CL,-,CLO_0009829,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0006414,BTO_0005639,-,BTO_0006414,CLO_0009854,PR_000001026
DND41,CL,CLO_0009834,CLO_0002886,CL_0000084,CL_0000236,UBERON_0000178,UBERON_0001062,-,BTO_0002168,PR_000009127,-,CLO_0009834,PR_000009127
HEK293A_empty-vector_DMSO_6h,CL,CLO_0001230,CLO_0000010,CL_0002518,CL_0000182,UBERON_0002113,UBERON_0000106,BTO_0000007,BTO_0002769,-,BTO_0002524,CLO_0001230,-
BLUE1,CL,-,CLO_0052629,CL_0000236,CL_0000213,UBERON_0000178,UBERON_0000468,-,BTO_0002985,UBERON_0002148,-,CLO_0037268,UBERON_0002148
ES-I3_Cell_Line,CL,-,CLO_0006919,CL_0002322,CL_0002328,UBERON_0000922,UBERON_0016887,-,BTO_0000514,CL_0000039,BTO_0000374,CLO_0000001,CL_0007015
hepatocellular carcinoma cell line: HepG2 ENCODE biol_rep2,CL,CLO_0003704,CLO_0001911,CL_0000182,CL_1001607,UBERON_0002107,UBERON_0002107,BTO_0000599,BTO_0000759,CL_0000182,BTO_0000578,DOID_684,CL_0000182
BxPC3_sgNEG,CL,CLO_0002065,CLO_0007975,CL_0000083,CL_0000000,UBERON_0001264,UBERON_0000000,BTO_0001861,BTO_0001798,-,BTO_0001861,CLO_0002065,-
H9 Derived Neuron Cultured Cells,CL,-,CLO_0034472,CL_0000540,CL_0000115,UBERON_0001016,UBERON_0014892,-,BTO_0005715,CL_0000029,BTO_0000214,CL_0000010,CL_0000010
CLL1252,CL,-,CLO_0003673,CL_0000542,CL_0000236,UBERON_0000178,UBERON_0000345,-,BTO_0002124,-,BTO_0004336,CLO_0026320,-
HUES48,CL,-,CLO_0050928,CL_0002322,CL_0000057,UBERON_0000922,UBERON_0000468,-,BTO_0002750,-,BTO_0002158,CLO_0037316,-
RH4_sgBRG1,CL,-,CLO_0009412,CL_0002598,CL_0000000,UBERON_0004895,UBERON_0000000,BTO_0005381,BTO_0000000,-,-,-,PR_000001844
M0-91_acute_myeloid_leukemia,CL,-,CLO_0050852,CL_0000763,CL_0002360,UBERON_0000178,UBERON_0000178,BTO_0005491,BTO_0006519,CL_0000766,BTO_0001545,DOID_9119,PR_000014362
KOPT-K1,CL,-,CLO_0051281,CL_0000084,CL_0000000,UBERON_0000178,UBERON_0000000,BTO_0004964,BTO_0003704,-,BTO_0004964,CLO_0007052,-
LHSAR_prostate_epithelial_cells_LACZ,CL,-,CLO_0002341,CL_0002231,CL_0002231,UBERON_0002367,UBERON_0002367,-,BTO_0005180,CL_0002231,BTO_0006252,UBERON_0000428,CL_0002231
HeLa-B2_TA,CL,-,CLO_0005922,CL_0002535,CL_0000000,UBERON_0000002,UBERON_0000000,-,BTO_0000219,CL_0000822,BTO_0000567,CLO_0003684,CL_0000822
293 HEK,CL,CLO_0001230,CLO_0000011,CL_0002518,CL_0000057,UBERON_0002113,UBERON_0000468,BTO_0000007,BTO_0004145,-,BTO_0000007,CLO_0001230,CL_1000293
PC-3,CL,CLO_0008395,CLO_0007772,CL_0002231,CL_0002325,UBERON_0002367,UBERON_0000000,BTO_0001061,BTO_0000428,UBERON_0001965,BTO_0005498,CLO_0008390,CL_0002619
heat shocked K562,CL,CLO_0007059,CLO_0007774,CL_0000763,CL_0000182,UBERON_0002371,UBERON_0000479,BTO_0000664,BTO_0001135,-,-,CLO_0007060,-
MCF7_Invasive_ductal_breast_carcinoma_MRNAHIST,CL,CLO_0007606,CLO_0002329,CL_0002327,CL_0002328,UBERON_0000310,UBERON_0000310,BTO_0000093,BTO_0000188,UBERON_0000310,BTO_0002844,DOID_3008,UBERON_0000310
LNCaP_prostate_carcinoma_SHCTR,CL,CLO_0007365,CLO_0002323,CL_0002231,CL_0002057,UBERON_0002367,UBERON_0002367,BTO_0001321,BTO_0003216,UBERON_0002367,BTO_0002021,DOID_10286,UBERON_0002367
MDA-MB-134-VI,CL,CLO_0007631,CLO_0003097,CL_0002327,CL_0000000,UBERON_0000310,UBERON_0000000,-,BTO_0000851,UBERON_0016856,BTO_0001083,CLO_0003120,GO_1904948
hESC-1_Embryonic_stem_cells_PRIMED,CL,CLO_0037281,CLO_0009566,CL_0002322,CL_0002322,UBERON_0000922,UBERON_0000922,BTO_0006080,BTO_0001824,UBERON_0008816,BTO_0001086,CLO_0037279,CL_0002322
K-562,CL,CLO_0007059,CLO_0000903,CL_0000763,CL_0002372,UBERON_0002371,UBERON_0000468,BTO_0000664,BTO_0000201,CL_4023187,BTO_0000664,CLO_0007050,CL_4023187
P493-6,CL,-,CLO_0008269,CL_0000236,CL_0000169,UBERON_0000178,UBERON_0008951,BTO_0003291,BTO_0001239,-,BTO_0003291,CLO_0035875,-
BC3_TPA_4H,CL,CLO_0001891,CLO_0051913,CL_0000236,CL_0000233,UBERON_0000178,UBERON_0002384,BTO_0002722,BTO_0002370,-,BTO_0000115,CLO_0001890,-
TC71_WT,CL,CLO_0009879,CLO_0007084,CL_0001035,CL_0000000,UBERON_0002481,UBERON_0000000,BTO_0002604,BTO_0003084,-,BTO_0002604,CLO_0009879,-
