Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
HCCLM3,CL,-,-,hepatocyte,hepatocyte,liver,liver,HCCLM-3 cell,HCCLM-3 cell
U266B1,CL,U266B1 cell,-,B cell,plasma cell,blood,red bone marrow,multiple myeloma cell line,multiple myeloma cell line
OVCAR-3,CL,OVCAR-3 cell,OVCAR-3 cell,epithelial cell,epithelial cell,ovary,ovary,OVCAR-3 cell,OVCAR-3 cell
SW620,CL,SW620 cell,-,colon epithelial cell,colon epithelial cell,colon,intestinal lymph node,SW-620 cell,SW-620 cell
TC-32,CL,-,TC86P cell,-,-,musculoskeletal system,bone tissue,TC-32 cell,TC-32 cell
SNU16,CL,SNU-16 cell,SNU-16 cell,epithelial cell of stomach,epithelial cell of stomach,stomach,stomach,SNU-16 cell,SNU-16 cell
RPMI-8226,CL,-,-,lymphocyte of B lineage,plasma cell,blood,bone marrow,RPMI-8226 cell,RPMI-8226 cell
GM06077,CL,GM06077 cell,-,B cell,B-lymphoblast,blood,blood,EBV-LCL cell,EBV-LCL cell
OCI-LY10_diffuse_large_B-cell_lymphoma,CL,-,RCB1010 cell,B cell,"lymphocyte of B lineage, CD19-positive",lymph node,lymph node,-,-
hFOB_1_19_fetal_osteoblast,CL,hFOB 1.19 cell,-,osteoblast,osteoblast,bone tissue,bone tissue,hFOB 1.19 cell,hFOB 1.19 cell
H441,CL,NCI-H441 cell,NCI-H441 cell,club cell,obsolete epithelial cell of alveolus of lung,lung,lung epithelium,NCI-H441 cell,NCI-H441 cell
MO91,CL,Mo cell,Mo cell,myeloid cell,CAP motoneuron,blood,molar tooth 1,MO-91 cell,MO-91 cell
T3M-3,CL,RCB1018 cell,TM3 cell,trophoblast cell,-,trophoblast,-,-,T3M4 cell
GM04648,CL,GM04648 cell,-,B cell,B-lymphoblast,blood,blood,EBV-LCL cell,EBV-LCL cell
UACC-62,CL,-,-,epidermal melanocyte,epidermal melanocyte,skin epidermis,skin epidermis,UACC-62 cell,UACC-62 cell
normal intestinal epithelial cell line:FHs 74 Int,CL,FHs 74 Int cell,FHs 74 Int cell,epithelial cell of small intestine,epithelial cell of small intestine,small intestine,small intestine,-,HTh-74 cell
S462_PRC2 mutant,CL,-,Tumor-derived cell line,myelinating Schwann cell,-,nervous system,nervous system,malignant peripheral nerve sheath cancer cell,malignant peripheral nerve sheath cancer cell
FL10,CL,-,ND10932 cell,B cell,flask cell,lymph node,-,FL cell,FL cell
GM12878_Lymphoblastoid,CL,GM12878 cell,GM12778 cell,B cell,B-lymphoblast,blood,blood,GM-12878 cell,GM-12878 cell
PC-9,CL,-,-,epithelial cell of lung,epithelial cell of lung,lung,lung epithelium,PC-9 cell,PC-9 cell
MOLM-13_empty vector,CL,MOLM-13 cell,GM13897 cell,myeloid cell,myeloid cell,blood,hematopoietic tissue,MOLM-13 cell,MOLM-13 cell
IMR32,CL,IMR-32 cell,IMR-32 cell,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),brain,adrenal medulla,IMR-32 cell,IMR-32 cell
iPS-15b Cells,CL,induced pluripotent stem cell line cell,induced pluripotent stem cell line cell,pluripotent stem cell,pluripotent stem cell,-,-,pluripotent stem cell,pluripotent stem cell
LNCaP_prostate_carcinoma_SHFOXA1_R1881,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP clone FGC
IMR90_lung_fibroblasts_SENES_SHP53,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,-,lung,lung,IMR-90 cell,IMR-90 cell
V389,CL,-,-,colon epithelial cell,-,colon,-,-,V-79-4 cell
LNCaP_prostate_carcinoma_DHT24H_SHFOXA1,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP clone FGC
HL-60_CTRL,CL,HL-60 cell,HL-60 cell,myeloid cell,myeloid cell,blood,blood,HL-60 cell,HL-60 cell
GIST882_Gastrointestinal_stromal_tumor,CL,-,BB88 cell,neural cell,neoplastic cell,digestive tract,alimentary part of gastrointestinal system,-,-
T (PB),CL,-,immortal human peripheral vein-derived T cell line cell,T cell,lymphocyte,blood,blood,T-lymphocyte,T-lymphocyte
SKMEL30,CL,SK-MEL-30 cell,SK-MEL-30 cell,melanocyte,melanocyte,skin epidermis,skin epidermis,SK-MEL-30 cell,SK-MEL-30 cell
RL_WT_gRNA1,CL,RL cell,RL cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymphoid tissue,RL cell,diffuse large B-cell lymphoma cell line
mesothelioma cell line:ACC-MESO-1,CL,RCB2292 cell,IST-MES1 cell,meso-epithelial cell,meso-epithelial cell,pleura,pleura,H-MESO-1 cell,H-MESO-1 cell
RH18,CL,RH cell,RH cell,bronchial smooth muscle cell,-,alveolar smooth muscle,skeletal muscle tissue,Rh-18 cell,Rh-18 cell
GM06990,CL,GM06990 cell,-,B cell,B-lymphoblast,blood,-,B-lymphoblastoid cell line,B-lymphoblastoid cell line
NB4,CL,NB-4 cell,NB-4 cell,myeloid cell,myeloid cell,blood,blood,NB-4 cell,NB4-LR1 cell
GP5d_colon_adenocarcinoma,CL,GP5d cell,GP5d cell,colon epithelial cell,-,colon,large intestine,-,GP-202 cell
GM13977_female_B-cells,CL,GM13977 cell,-,B cell,lymphocyte of B lineage,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
M0-91_acute_myeloid_leukemia_27A_100UM,CL,-,-,myeloid cell,myeloid cell,blood,bone marrow,MO-91 cell,AML-12 cell
SUM149,CL,SUM149PT cell,-,mammary gland epithelial cell,-,breast,mammary gland,SUM-149PT cell,SUM-149PT cell
H82,CL,NCI-H82 cell,-,epithelial cell of lung,neuroendocrine cell,lung,epithelium of bronchus,NCI-H82 cell,NCI-H82 cell
AsPC1 WT,CL,AsPC-1 cell,-,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,AsPC-1 cell,AsPC-1 cell
MDAMB231,CL,MDA-MB-231 cell,-,mammary gland epithelial cell,-,breast,breast,MDA-MB-231 cell,MDA-MB-231 cell
iPS DF 6.9 cells,CL,human induced pluripotent stem cell line cell,human fibroblast-induced pluripotent stem cell line cell,pluripotent stem cell,pluripotent stem cell,-,dermis connective tissue,pluripotent stem cell,pluripotent stem cell
ES-I3 cells,CL,-,ES-D3 cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,-,ES-D3 cell
KYAE1,CL,-,GM01531 cell,epithelial cell of esophagus,immature CD1a-positive Langerhans cell,esophagus,-,-,KYSE-140 cell
HeLa_2_high,CL,HeLa cell,HELA-S3 cell,epithelial cell of cervix,epithelial cell of cervix,uterine cervix,uterine cervix,HeLa cell,HeLa cell
MDA-MB-231,CL,MDA-MB-231 cell,-,mammary gland epithelial cell,-,breast,mammary gland,MDA-MB-231 cell,MDA-MB-231-B02 cell
A549 TEAD2 shRNA TGFb,CL,A549 cell,-,epithelial cell of lung,epithelial cell of lung,lung,lung,A-549 cell,A-549 cell
GM09237,CL,GM09237 cell,-,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
RT242,CL,-,RT112/84 cell,-,-,kidney,-,-,RT-2 cell
NMFH-1,CL,RCB2346 cell,-,fibroblast,-,knee,-,-,-
SNU484,CL,-,SNU-5 cell,glandular epithelial cell of stomach,glandular epithelial cell of stomach,stomach,stomach,SNU-484 cell,SNU-484 cell
MCF10CA1a_breast_metastatic_epithelial_cells,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
kelly_DMSO_3h,CL,KELLY cell,-,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),brain,bone marrow,KELLY cell,neuroblastoma cell line
gastric adenocarcinoma cell line:MKN45,CL,MKN28 cell,-,glandular epithelial cell of stomach,-,stomach,stomach,MKN-28 cell,MKN-45 cell
BT20,CL,BT-20 cell,BT-20 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,BT-20 cell,BT-20 cell
testicular germ cell embryonal carcinoma cell line:NEC14,CL,RCB0490 cell,-,male germ cell,malignant cell,testis,testis,-,-
SU-DHL-4,CL,SU-DHL-4 cell,SU-DHL-4 cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymph node,SU-DHL-4 cell,SU-DHL-4 cell
PrEC,CL,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,NPrEC cell,prostate epithelium cell line
IMR-90,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,fibroblast of lung,lung,lung,IMR-90 cell,IMR-90 cell
diffuse large B-cell lymphoma cell line:CTB-1,CL,RCB1316 cell,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymph node,-,-
NCI0075,CL,-,RCB0095 cell,-,-,skeletal muscle tissue,-,-,-
226LDM_normal_breast_luminal_cells,CL,-,-,luminal epithelial cell of mammary gland,luminal epithelial cell of mammary gland,breast,mammary gland,-,-
SW620_colon_adenocarcinoma,CL,SW620 cell,-,colon epithelial cell,colon epithelial cell,colon,large intestine,SW-620 cell,SW-620 cell
KOPN-8,CL,KOPN-8 cell,KOPN-8 cell,B cell,B-lymphoblast,blood,hematopoietic tissue,-,-
OACM5.1,CL,-,-,epithelial cell of esophagus,epithelial cell of esophagus,esophagus,esophagus,-,OCI-AML5 cell
NCI-H378_p8-15,CL,NCI-H378 cell,NCI-H378 cell,epithelial cell of lung,epithelial cell of lung,lung,lung,-,-
SW872_TAZ_CAMTA1,CL,SW 872 cell,-,adipocyte,adipocyte,connective tissue,connective tissue,SW-872 cell,SW-872 cell
adenocarcinoma cell line:IM95m,CL,-,MSN09-4 cell,epithelial cell of stomach,epithelial cell of stomach,stomach,-,IM-95 cell,IM-95 cell
BJ,CL,BJ cell,immortal foreskin-derived fibroblast cell line cell,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,BJ cell,foreskin fibroblast cell line
RL95-2,CL,RL95-2 cell,ND10982 cell,epithelial cell of uterus,epithelial cell of uterus,endometrium,endometrium,RL95-2 cell,RL95-2 cell
Y79,CL,Y79 cell,-,retinoblast,retinoblast,retina,retina,Y-79 cell,Y-79 cell
mesothelioma cell line:Mero-84,CL,-,-,mesothelial cell,mesothelial cell,lung,mesothelium of pleural cavity,-,-
gm19240,CL,GM19240 cell,GM19191 cell,B cell,B-lymphoblast,blood,blood,EBV-LCL cell,EBV-LCL cell
signet ring carcinoma cell line:NUGC-4,CL,RCB1939 cell,-,epithelial cell of stomach,malignant cell,stomach,stomach,NUGC-4 cell,NUGC-4 cell
iPS_19.11,CL,human induced pluripotent stem cell line cell,human induced pluripotent stem cell line cell,pluripotent stem cell,pluripotent stem cell,-,-,pluripotent stem cell,pluripotent stem cell
A549_dexamethasone_12h,CL,A549 cell,-,epithelial cell of lung,pulmonary alveolar type 2 cell,lung,pulmonary alveolus epithelium,A-549 cell,A549-CR cell
anaplastic large cell lymphoma cell line:Ki-JK,CL,-,FRT-L KiKi cell,lymphocyte,neoplastic cell,blood,lymphoid tissue,-,KIJ-308T cell
H1 Derived Mesenchymal Stem Cells,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,mesenchymal stem cell,mesenchymal stem cell,mesenchyme,mesenchyme,mesenchymal stem cell,mesenchymal stem cell
H1 Derived Neuronal Progenitor Cultured Cells,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,neural progenitor cell,neural progenitor cell,embryo,central nervous system,embryonic stem cell line,embryonic stem cell line
Molt4,CL,MOLT-4 cell,MOLT-4 cell,T cell,T cell,blood,hematopoietic tissue,MOLT-4 cell,T-lymphoblastic leukemia cell line
squamous cell carcinoma cell line:T3M-5,CL,-,TM3 cell,squamous epithelial cell,squamous epithelial cell,thyroid gland,squamous epithelium,-,T3M4 cell
SVOG3e_cells_Dox_12h_transduced with V5-FOXL2 C134W,CL,-,SV63 cell,granulosa cell,granulosa cell,ovary,ovary,SVOG-3e cell,SVOG-3e cell
du145,CL,DU 145 cell,ND14145 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,DU-145 cell,DU-145 cell
leiomyoma cell line:10964C,CL,-,-,smooth muscle cell,smooth muscle cell,uterus,myometrium,uterine leiomyoma cell line,uterine leiomyoma cell line
DAUDI,CL,Daudi cell,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymphoid tissue,DAUDI cell,-
BE2C_DMSO,CL,SK-N-BE(2)-C cell,SK-N-BE(2)-C cell,neuroblast (sensu Vertebrata),-,brain,-,SK-N-BE(2)C cell,SK-N-BE(2)C cell
MDA-MB-231-Erbeta_E2_TNFa,CL,MDA-MB-231 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-231 cell,MDA-MB-231-B02 cell
DHL-9,CL,-,-,B cell,-,blood,-,DHL-9 cell,DHL-9 cell
ZR_75_1,CL,ZR-75-1 cell,ZR-75-1 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,ZR-75-1 cell,ZR-75-1 cell
U2OS_osteosarcoma_SHRCTR,CL,U-2 OS cell,-,bone cell,malignant cell,bone tissue,supraneural 3 bone,U2-OS cell,U2-OS cell
LNCaP_prostate_carcinoma_SIFOXA1_TNFA,CL,LNCAP cell,GM15455 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP clone FGC
NCI-H1963,CL,NCI-H1963 cell,-,epithelial cell of lung,epithelial cell of lower respiratory tract,lung,lung,NCI-H1963 cell,NCI-H1963 cell
BIN-67_SMARCA4.T910M,CL,-,-,-,-,ovary,ovary,BIN-67 cell,BIN-67 cell
JR1 shCtrl,CL,-,DA01551 cell,-,-,muscle structure,-,-,Mel-JD cell
EndoC-BH1_human_pancreatic_beta_cell_line,CL,-,-,type B pancreatic cell,insulin secreting cell,pancreas,islet of Langerhans,-,-
Burkitt's lymphoma cell line:RAJI,CL,Raji cell,Raji cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymphoid tissue,RAJI cell,-
retinoblastoma cell line:Y79,CL,Y79 cell,-,retinoblast,retinoblast,retina,retina,Y-79 cell,Y-79 cell
Colo205,CL,COLO 205 cell,AG20455 cell,colon epithelial cell,-,colon,colon,Colo-205 cell,Colo-205 cell
ONE58,CL,-,DA05855 cell,mesothelial cell of pleura,-,pleura,-,-,-
HASM2_Human_airway_smooth_muscle_2,CL,immortal human bronchus-derived cell line cell,immortal human bronchus-derived cell line cell,smooth muscle cell,smooth muscle cell,respiratory system smooth muscle,bronchiole,bronchial smooth muscle cell,bronchial smooth muscle cell
A549_0h_sciCAR,CL,A549 cell,-,epithelial cell of lung,epithelial cell of lung,lung,alveolus of lung,A-549 cell,non-small cell lung adenocarcinoma cell line
JEG-3,CL,JEG-3 cell,JEG-3 cell,epithelial cell,trophoblast cell,placenta,placenta,JEG-3 cell,JEG-3 cell
KM12SM,CL,KM12 cell,KM12 cell,colon epithelial cell,colon epithelial cell,colon,large intestine,KM-12 cell,KM-12 cell
786-O_empty_vector,CL,786-O cell,ND07899 cell,kidney cell,kidney cell,kidney,kidney,RCC 786-O cell,RCC 786-O cell
acute myeloid leukemia (FAB M7) cell line:M-MOK,CL,RCB2534 cell,JOSK-M cell,megakaryocyte progenitor cell,megakaryocyte progenitor cell,bone marrow,bone marrow,-,-
TC-797,CL,-,-,squamous epithelial cell,Tc17 cell,thymus,-,-,-
A375,CL,A-375 cell,-,epidermal melanocyte,epidermal melanocyte,skin epidermis,skin epidermis,A-375 cell,melanoma cell line
U-937 DE-4,CL,RCB0435 cell,-,monocyte,monocyte,blood,hematopoietic system,U-937 cell,U-937 cell
T3M4 wt,CL,RCB1021 cell,TM4 cell,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,T3M4 cell,TM-4 cell
HepG2 hepatocellular carcinoma,CL,Hep G2 cell,Hep G2 cell,hepatocyte,hepatocyte,liver,liver,Hep-G2 cell,Hep-G2 cell
MCF7_FASR,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
U-937,CL,U-937 cell,-,monocyte,monocyte,blood,lymphoid tissue,U-937 cell,U-937 cell
CLB-GA-control,CL,-,-,neuroblast (sensu Vertebrata),-,nervous system,-,-,-
DUCaP_prostate_carcinoma,CL,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,-,RAMOS-EHRB cell
lung adenocarcinoma cell line:PC-14,CL,PC-14 cell,PC-14 cell,epithelial cell of lung,epithelial cell of lung,lung,pulmonary alveolus epithelium,PC-14 cell,lung adenocarcinoma cell line
NCCIT_testicular_embryonic_carcinoma,CL,NCCIT cell,ND30625 cell,pluripotent stem cell,-,mediastinum testis,mediastinum testis,NCCIT cell,NCCIT cell
293T_2_high,CL,HEK293T cell,HEK293T cell,kidney epithelial cell,kidney epithelial cell,kidney,kidney,HEK-293T cell,HEK-293T cell
MDA-MB-453_breast_adenocarcinoma_DHT,CL,MDA-MB-453 cell,DA00453 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-453 cell,MDA-MB-453 cell
JB6_Human_anaplastic_large_cell_lymphoma,CL,JB6 Cl 30-7b cell,JB6 Cl 30-7b cell,lymphocyte,malignant cell,blood,lymph node,JB6 cell,JB6 cell
HUVEC-C_HUVEC_umbilical_vein_endothelial_cells_TNF_0M,CL,HUV-EC-C cell,HUV-EC-C cell,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical cord,umbilical cord,HUVEC cell,umbilical vein endothelial cell line
SK-N-MC_Askin_tumor_SHGFP_96H,CL,SK-N-MC cell,SK-N-MC cell,neuroblast (sensu Vertebrata),-,brain,thoracic wall,SK-N-MC cell,SK-N-MC cell
gm19238,CL,GM19238 cell,GM19239 cell,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
H1-NPC,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,neural progenitor cell,neural progenitor cell,embryo,central nervous system,embryonic stem cell line,embryonic stem cell line
H3396_breast_carcinoma,CL,-,H454 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,HO-8910PM
MCF-10A,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
CRL-7250,CL,-,-,fibroblast,-,connective tissue,-,-,A549-CR cell
WPMY-1,CL,WPMY-1 cell,immortal myofibroblast cell line cell,prostate stromal cell,-,prostate gland,prostate gland,WPMY-1 cell,myofibroblast cell line
ps15-u2os-eto,CL,U-2 OS cell,immortal human bone element-derived cell line cell,bone cell,osteoblast,bone tissue,bone tissue,U2-OS cell,osteosarcoma cell line
T24_1_low,CL,T24 cell,T24 cell,bladder cell,bladder cell,urinary bladder,urinary bladder,T-24 cell,urinary bladder transitional cell carcinoma cell line
SW-13,CL,SW-13 cell,-,adrenal gland glandular cell,adrenal gland glandular cell,adrenal gland cortex zone,adrenal gland cortex zone,adrenocortical carcinoma cell line,adrenocortical carcinoma cell line
HPBALL,CL,HPB-ALL cell,HPB-ALL cell,T cell,pre-B-II cell,blood,bone marrow,HPB-ALL cell,HPB-ALL cell
A-375,CL,A-375 cell,-,epidermal melanocyte,epidermal melanocyte,skin epidermis,skin epidermis,A-375 cell,melanoma cell line
SK-BR-3_breast_adenocarcinoma_EGF,CL,SK-BR-3 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,SK-BR-3 cell,SK-BR-3 cell
RCC_7860_Renal_cell_carcinoma,CL,786-O cell,BB65-RCC cell,kidney cell,kidney cell,kidney,kidney,RCC 786-O cell,RCC 786-O cell
HUES8 WT,CL,-,HSC0088 cell,embryonic stem cell,embryonic stem cell,embryo,-,-,Hs888Lu cell
B-CPAP,CL,B-CPAP cell,B-CPAP cell,epithelial cell of thyroid gland,epithelial cell of thyroid gland,thyroid gland,thyroid gland,B-CPAP cell,B-CPAP cell
esc-h1-3il,CL,Line H1 cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,hESC cell,embryonic stem cell line
iPS-18 Cells,CL,-,-,pluripotent stem cell,pluripotent stem cell,-,-,-,-
SF9402,CL,-,-,-,-,brain,digit,-,-
NKM-1,CL,NKM-1 cell,NKM-1 cell,myeloid cell,"NK1.1-positive natural killer cell, mouse",blood,-,-,SKM-1 cell
IMR-90_senescent,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,-,lung,lung,IMR-90 cell,IMR-90 cell
OPK,CL,-,Ptk2 cell,kidney cell,-,kidney,-,-,OP-6 cell
SK-N-BE_2_-C_resistant_vehicle,CL,SK-N-BE(2)-C cell,-,neuroblast (sensu Vertebrata),-,nervous system,nervous system,SK-N-BE(2)C cell,SK-N-BE(2)C cell
GM06170_fetal_skin_fibroblasts,CL,GM06170 cell,-,skin fibroblast,skin fibroblast,skin epidermis,skin of umbilical area,skin fibroblast cell line,skin fibroblast cell line
U2OS_siNC,CL,U-2 OS cell,ND06852 cell,bone cell,malignant cell,bone tissue,supraneural 5 bone,U2-OS cell,U2-OS cell
H1_Derived_Neuronal_Progenitor_Cultured_Cells,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,neural progenitor cell,neural progenitor cell,embryo,central nervous system,embryonic stem cell line,embryonic stem cell line
Hs 132.T,CL,Hs 132.T cell,-,fibroblast,-,connective tissue,-,-,HS-294T cell
leiomyoma cell line:15425,CL,Tumor-derived cell line,Tumor-derived cell line,smooth muscle cell,smooth muscle cell,uterus,myometrium,uterine leiomyoma cell line,uterine leiomyoma cell line
H9_Null+EZH2,CL,H9 cell,H9 cell,T cell,embryonic stem cell,blood,embryo,H-9 cell,H-9 cell
H1-ESC,CL,Line H1 cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,hESC cell,embryonic stem cell line
RS4_11_DMSO_4h,CL,RS4;11 cell,-,lymphocyte of B lineage,lymphocyte of B lineage,bone marrow,hematopoietic tissue,RS4-11 cell,RS4-11 cell
H69_TGF beta_16h_1,CL,NCI-H69 cell,-,epithelial cell of lung,-,lung,lung,NCI-H69 cell,NCI-H69 cell
MOLT-4,CL,MOLT-4 cell,-,T cell,T cell,blood,hematopoietic tissue,MOLT-4 cell,MOLT-4 cell
CCLP1,CL,-,CC-1 cell,duct epithelial cell,cholangiocyte,bile duct,bile duct,CCLP-1 cell,CCLP-1 cell
MM1S,CL,MM.1S cell,-,lymphocyte of B lineage,plasma cell,blood,bone marrow,MM1-S cell,multiple myeloma cell line
1_H1_ESCs_with_99_fibroblsat,CL,Line H1 cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,hESC cell,embryonic stem cell line
UCLA1-hESCs,CL,-,-,embryonic stem cell,embryonic stem cell,embryo,embryo,-,UM-UC-1 cell
chronic lymphocytic leukemia (T-CLL) cell line:SKW-3,CL,SKW-3 cell,GH3.TRE-Luc,T cell,"activated CD8-positive, alpha-beta T cell, human",blood,blood,SKW-3 cell,SKW-3 cell
HCC1954_Parental,CL,HCC1954 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,HCC-1954 cell,HCC-1954 cell
MCF7_WS8_cells,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
M112,CL,-,-,bone cell,-,bone tissue,manual major digit (Aves),-,-
SET2_Adult_acute_megakaryoblastic_leukemia_Homo_Sapiens,CL,-,-,megakaryocyte progenitor cell,megakaryocyte progenitor cell,bone marrow,hematopoietic tissue,SET-2 cell,SET-2 cell
OCI_LY7,CL,-,-,B cell,B cell,blood,lymph node,OCI-LY7 cell,OCI-LY7 cell
DND41,CL,DND-41 cell,DA04242 cell,T cell,T cell,blood,hematopoietic tissue,-,-
HEK293A_empty-vector_DMSO_6h,CL,HEK293,HEK293T cell,kidney epithelial cell,kidney epithelial cell,kidney,kidney,HEK-293 cell,HEK-293 cell
BLUE1,CL,-,-,B cell,Bm1 B cell,blood,-,-,-
ES-I3_Cell_Line,CL,-,ES3 cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,-,ES-D3 cell
hepatocellular carcinoma cell line: HepG2 ENCODE biol_rep2,CL,Hep G2 cell,Hep G2 cell,hepatocyte,hepatocyte,liver,liver,Hep-G2 cell,HepG2-N10 cell
BxPC3_sgNEG,CL,BxPC-3 cell,BxPC-3 cell,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,BxPC-3 cell,BxPC-3 cell
H9 Derived Neuron Cultured Cells,CL,-,-,neuron,neuron,nervous system,nervous system,embryonic stem cell line,embryonic stem cell line
CLL1252,CL,-,RCB1246 cell,lymphocyte,mature B cell,blood,venous blood,leukemia cell line,leukemia cell line
HUES48,CL,-,HQ00805 cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,-,-
RH4_sgBRG1,CL,RH cell,RH cell,bronchial smooth muscle cell,-,alveolar smooth muscle,alveolar smooth muscle,Rh-4 cell,rhabdomyosarcoma cell line
M0-91_acute_myeloid_leukemia,CL,-,ND10099 cell,myeloid cell,myeloid cell,blood,bone marrow,MO-91 cell,MO-91 cell
KOPT-K1,CL,K1 cell,K1 cell,T cell,-,blood,hematopoietic system,KOPT-K1 cell,KOPT-K1 cell
LHSAR_prostate_epithelial_cells_LACZ,CL,immortal human prostate epithelium-derived cell line cell,immortal human prostate epithelium-derived cell line cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate epithelium cell line,prostate epithelium cell line
HeLa-B2_TA,CL,HeLa cell,HeLa cell,epithelial cell of cervix,epithelial cell of cervix,uterine cervix,uterine cervix,HeLa cell,HeLa cell
293 HEK,CL,HEK293,HEK293T cell,kidney epithelial cell,kidney epithelial cell,kidney,kidney rudiment,HEK-293 cell,HEK-293 cell
PC-3,CL,PC-3 cell,immortal human prostate gland-derived cell line cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,PC-3 cell,prostate adenocarcinoma cell line
heat shocked K562,CL,K-562 cell,K-562 cell,myeloid cell,erythroid lineage cell,bone marrow,blood,K-562 cell,K-562 cell
MCF7_Invasive_ductal_breast_carcinoma_MRNAHIST,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
LNCaP_prostate_carcinoma_SHCTR,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP clone FGC
MDA-MB-134-VI,CL,MDA-MB-134-VI cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,-
hESC-1_Embryonic_stem_cells_PRIMED,CL,Line H1 cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,hESC cell,hESC cell
K-562,CL,K-562 cell,immortal human blood cell line cell,myeloid cell,Kit-positive erythroid progenitor cell,bone marrow,venous blood,K-562 cell,K-562 cell
P493-6,CL,-,P93 cell,B cell,B-lymphoblast,blood,lymphoid tissue,P493-6 cell,P493-6 cell
BC3_TPA_4H,CL,BC-3 cell,BC-3 cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,pleuroperitoneal cavity,BC-3 cell,BC-3 cell
TC71_WT,CL,TC-71 cell,TC-71 cell,bone cell,malignant cell,bone tissue,bone tissue,TC-71 cell,TC-71 cell
SW403,CL,SW403 cell,-,colon epithelial cell,colon epithelial cell,colon,large intestine,SW-403 cell,SW-48 cell
