Label,Type,CLO_id,CL_id,UBERON_id,BTO_id
spleen adult pool1,A,-,-,UBERON_0002106,BTO_0001281
Vagina,A,-,-,UBERON_0004983,BTO_0005676
serous cystadenocarcinoma cell line:HTOA,CL,CLO_0003744,CL_2000064,UBERON_0000992,BTO_0005987
Hindbrain derived neural stem cells_NS13_H3.3K27M_WT,CT,-,CL_0000047,UBERON_0002028,BTO_0002881
Smooth Muscle Cells - Umbilical Artery donor1,CT,-,CL_0000192,UBERON_0001310,BTO_0004578
RMS209,CL,-,CLO_0001064,UBERON_0001134,BTO_0001240
RENVM,CL,-,CL_0011020,-,BTO_0005447
gastrocnemius medialis_54y,A,-,-,UBERON_0011907,BTO_0000021
GM23338,CL,-,CL_0017006,UBERON_0013756,BTO_0005261
EP156T_primary_prostate_cells,CL,-,CL_0002231,UBERON_0002367,-
HCASMC_Human_coronary_artery_smooth_muscle_cells,CT,-,CL_0002592,UBERON_0001621,BTO_0005101
Fibroblast - Gingival donor2,CT,-,CL_0002552,UBERON_0001828,BTO_0004138
Fibroblast - Dermal donor3,CT,-,CL_0002620,UBERON_0002067,BTO_0004419
U937_adult_acute_monocytic_leukemia,CL,CLO_0035999,CL_0000576,UBERON_0002371,BTO_0001412
H3.3K27M_Tumor-derived cell-line_DIPGVI_c27_cells,-,-,-,-,-
CD8 Memory 7pool,CT,-,CL_0000907,-,-
CD14+ monocyte (PB),CT,-,CL_0001054,UBERON_0013756,BTO_0000876
NK_cells_G,CT,-,CL_0000623,UBERON_0013756,BTO_0000914
Matrix_Fibrob_2_E,CT,-,CL_0000057,-,BTO_0000452
Peripheral Blood Mononuclear Cells donor1,CT,-,CL_2000001,UBERON_0001969,BTO_0001025
myotube originated from skeletal muscle myoblast,CT,-,CL_0008003,UBERON_0001134,BTO_0004392
MDA-MB-453,CL,CLO_0035988,CL_0002326,UBERON_0001911,BTO_0001908
Nucleus Pulposus Cell donor3,CT,-,CL_0002564,UBERON_0002242,BTO_0005497
H9_Null,CL,-,CL_0002322,UBERON_0000087,BTO_0001944
MEP-CD34,CT,-,CL_0000050,UBERON_0012429,BTO_0004911
HSKTC,CL,-,CL_0000312,UBERON_0001003,BTO_0000667
Tumor_3_BCC,CT,-,CL_0002187,UBERON_0001003,BTO_0001298
T_J,CL,CLO_0007044,CL_0001043,UBERON_0002390,BTO_0000661
B_C,CT,-,CL_0000945,UBERON_0034769,BTO_0000776
Stromal_lung_8,CT,-,CLO_0002553,UBERON_0002048,BTO_0003952
22Rv1,CL,CLO_0001200,CL_0002231,UBERON_0002367,BTO_0005936
MCF7_Invasive_ductal_breast_carcinoma_E2_TNF,CL,CLO_0007606,CL_0002326,UBERON_0001911,BTO_0000093
MV411,CL,-,CL_0000766,UBERON_0002371,BTO_0006413
GM12869,CL,-,CL_0017006,UBERON_0013756,BTO_0002062
T47D_shCtrl_shRING1B_24hr,CL,CLO_0009251,CL_0002326,UBERON_0001911,BTO_0001248
Club-D,CT,-,CL_0000158,UBERON_0001958,BTO_0004811
HepaRG,CL,CLO_0000565,CL_0002538,UBERON_0002107,BTO_0000578
GBM_4250_2,CL,CLO_0036938,CLO_0001064,UBERON_0001869,BTO_0005949
Goblet_stomach,CT,-,CL_0000160,UBERON_0001199,BTO_0001540
Smooth Muscle Cells - Internal Thoracic Artery donor3,CT,-,CL_0019018,UBERON_0002456,BTO_0004578
umbilical-cord-derived-mesenchymal-stem-cells_SGA_cycle_0,CT,-,CL_0002569,UBERON_0002331,BTO_0003298
Granule_n_cerebellum,CT,-,CL_0001031,UBERON_0002956,BTO_0004278
Prostate Epithelial Cells donor2,CT,-,CL_0002231,UBERON_0002367,BTO_0005555
SK-MEL-23,CL,-,CL_0000148,UBERON_0002097,BTO_0005333
mesenchymal precursor cell - ovarian cancer metastasis donor4,CT,-,CL_0000134,-,BTO_0003298
UCSF_4,CL,CLO_0009474,-,-,-
hepatocellular-carcinoma-cell,CT,-,CL_0000182,UBERON_0002107,BTO_0000608
MM1-S,CL,CLO_0037203,CL_0000786,UBERON_0002371,BTO_0005490
Cal27,CL,CLO_0002182,CL_1001576,UBERON_0007367,BTO_0000921
Bronchial Epithelial Cell donor6,CT,-,CL_0002328,UBERON_0002185,BTO_0002922
FL8,CL,CLO_0003359,CL_0007023,-,BTO_0003130
OVCA429_shGRHL2,CL,-,CL_2000064,UBERON_0000992,BTO_0002564
Rectal Mucosa Donor 31,A,-,-,UBERON_0003346,BTO_0002435
coronary_artery,A,-,-,UBERON_0001621,BTO_0000290
H3.3K27WT_2192,-,-,-,-,-
GM18505,CL,-,CL_0017006,UBERON_0013756,BTO_0002062
Fetal Intestine,A,-,-,UBERON_0000160,BTO_0000648
MCF7_Invasive_ductal_breast_carcinoma_E2_5M,CL,CLO_0007606,CL_0002326,UBERON_0001911,BTO_0000093
LOX-IMVI,CL,-,CL_0000148,UBERON_0002097,BTO_0004151
NK_1_BCC,CT,-,CL_0000623,UBERON_0002025,BTO_0000914
neuron-progenitor,CT,-,CL_0011020,-,BTO_0002881
HCT116_GLIS2.2-DMSO,CL,-,CLO_1001588,UBERON_0000059,BTO_0001109
Intestine_Unknown.8_intestine,A,-,-,UBERON_0000160,BTO_0000648
STAD,CT,-,CL_0002178,UBERON_0006924,BTO_0002380
Fetal Stomach,A,-,-,UBERON_0001161,BTO_0001307
Human Monocytes/Macrophages,CT,-,CL_0000576,-,BTO_0000801
Cardiac progenitor cells,CT,-,CL_0011026,UBERON_0011695,-
DU145_prostate_carcinoma_FOXA1_ARQ6540X,CL,-,CL_0002231,UBERON_0002367,BTO_0005049
Th2_t-infiltrating,CT,-,CL_0000546,UBERON_0000479,BTO_0001679
P493-6_B-cell_lymphoma_CMYC_24H,CL,CLO_0008345,CL_0001200,UBERON_0000029,BTO_0003291
ILC3,CT,-,CL_0001078,UBERON_0001238,BTO_0001096
Preadipocyte - omental donor3,CT,-,CL_0002334,UBERON_0014454,BTO_0001107
MPAL4_T1_4,CT,-,CL_0000354,UBERON_0012429,BTO_0005579
LS174T_colon_adenocarcinoma,CL,CLO_0007403,CL_0011108,UBERON_0000059,BTO_0001553
CD14_Mono,CT,-,CL_0001054,UBERON_0013756,BTO_0000876
BCPAP_Poorly_differentiated_thyroid_gland_carcinoma,CL,CLO_0001905,CLO_0000500,UBERON_0002046,BTO_0002728
carcinosarcoma cell line:JHUCS-1,CL,-,CL_0001063,-,JHU-011 cell : <BTO_0003891>
LNCaP95_shARv7_DHT,CL,-,CL_0002231,UBERON_0002367,BTO_0006264
IIDP/donor790,CT,-,CL_0008024,UBERON_0000006,BTO_0005813
BI_CD8_Memory_7pool,CT,-,CL_0001203,UBERON_0000178,BTO_0003435
CRC_17A,CL,-,CL_0002253,UBERON_0012652,BTO_0001914
Adipocyte - subcutaneous donor2,CT,-,CL_0002521,UBERON_0002190,BTO_0006429
trophoblast__SynT,CT,-,CL_0000525,UBERON_0001987,BTO_0006120
hESC-1_Embryonic_stem_cells_DIFF_D2,CL,CLO_0037280,CL_0002322,UBERON_0019249,BTO_0006080
pancreatic-islets-F,A,-,-,UBERON_0000006,BTO_0000991
WA01_H1_human_embryonic_stem_cells,CL,CLO_0003730,CL_0002322,UBERON_0000087,BTO_0006060
LNCaP-C4-2,CL,CLO_0007365,CL_0002231,UBERON_0000428,BTO_0005868
MCF7_Invasive_ductal_breast_carcinoma_GLYC,CL,CLO_0000578,CL_4033058,UBERON_0001911,BTO_0000356
J82,CL,CLO_0007006,CL_1001428,UBERON_0004645,BTO_0001671
LNCaP95_shGFP_DHT,CL,-,CL_0002231,UBERON_0002367,BTO_0006264
GM19239,CL,CLO_0027144,CL_0017006,-,BTO_0002062
Smooth Muscle Cells - Esophageal donor1,CT,-,CL_0002599,UBERON_0009961,BTO_0004576
DLD1,CL,CLO_0002785,CL_1001588,UBERON_0001207,BTO_0005484
ZR-75-1,CL,CLO_0009727,CL_0002326,UBERON_0001911,BTO_0003136
SK-MEL-5_DMSO_6h,CL,CLO_0009047,CL_1000458,UBERON_0002097,BTO_0002134
HaCaT_keratinocytes_caRAS_TGFB,CL,-,CL_0000312,UBERON_0001003,BTO_0000552
LC-1F,CL,-,-,-,-
duodenum fetal donor1 tech_rep2,A,-,-,UBERON_0002114,BTO_0000365
PC3,CL,CLO_0000748,CL_0002231,UBERON_0002367,BTO_0005049
MDA-MB-453_breast_adenocarcinoma_R1881_SICTR,CL,CLO_0035988,CL_0002326,UBERON_0001911,BTO_0001908
8305C,CL,CLO_0001510,CL_0001063,UBERON_0002046,BTO_0005550
primary-monocyte,CT,-,CL_0000576,UBERON_0013756,BTO_0000876
HUVEC,CL,CLO_0004307,CL_0002618,UBERON_0002066,BTO_0001520
ChTRT,CL,CLO_0002468,CL_0000056,-,-
Bone_marrow_derived_macrophage,CT,-,CL_0002476,UBERON_0002371,BTO_0004732
MM_1S,CL,CLO_0037203,CL_0000786,UBERON_0002371,BTO_0005490
Myeloid_placenta_2,CT,-,CL_0000763,UBERON_0001987,BTO_0004730
M-MOK,CL,CLO_0007815,-,UBERON_0003667,BTO_0003680
SK-UT-1,CL,CLO_0009065,CL_0002601,UBERON_0001296,BTO_0003725
LNCaP_prostate_carcinoma_SICTR_TNFA,CL,-,CL_0002231,UBERON_0002367,BTO_0006095
pDC,CT,-,CL_0001058,UBERON_0034769,BTO_0004625
MFH-ino,CL,-,CL_0008019,UBERON_0007524,-
MLS 1765-92,CT,-,-,-,-
B lymphoblastoid Cell,CT,-,CL_0000816,UBERON_0001745,BTO_0002062
LNCaP_DHT_DMSO_6h,CL,CLO_0026667,CL_0002231,UBERON_0002367,BTO_0006095
astrocyte_of_the_spinal_cord,CT,-,CL_0002606,UBERON_0002240,BTO_0000099
KMS28BM,CL,CLO_0009842,CL_0000786,UBERON_0002371,BTO_0004000
hMGLs_WT,CT,-,CL_0000129,UBERON_0001017,BTO_0000078
Fetal_heart,A,-,-,UBERON_0011695,BTO_0001887
bile duct carcinoma cell line:HuCCT1,CL,-,CL_1000488,UBERON_0003704,BTO_0003911
BA40_brodmann_area_40,A,-,-,-,BTO_0002495
Colon smooth muscle,A,-,-,UBERON_0012489,BTO_0004362
UCSD_Right_Atrium,A,-,-,UBERON_0002078,BTO_0001703
Karpas-45,CL,CLO_0007067,-,-,BTO_0004158
Hair Follicle Dermal Papilla Cells donor2,CT,-,CL_0000346,UBERON_0000412,BTO_0005569
WI-38,CL,CLO_0000424,CLO_0002553,UBERON_0002048,BTO_0000161
Ca Ski,CL,-,CL_1001575,UBERON_0000002,BTO_0002212
OVCAR8_high_grade_ovarian_serous_adenocarcinoma,CL,CLO_0008279,CL_2000064,UBERON_0000992,BTO_0003054
CHLA-10,CT,-,-,UBERON_0001236,BTO_0000932
CD4+CD25+CD45RA- memory regulatory T cells expanded donor3,CT,-,CL_0002678,UBERON_0010417,-
Hs 769.T,CL,-,-,UBERON_0011982,BTO_0003267
Chondrocyte - re diff donor3,CT,-,CL_0000138,UBERON_0002418,BTO_0000249
CD8+ T Cells donor2,CT,-,CL_0001049,UBERON_0013756,BTO_0000289
MCF7_Invasive_ductal_breast_carcinoma_SICTR_E2,CL,CLO_0007606,CL_0002326,UBERON_0008367,BTO_0000093
NCI-H446_no infection,CL,CLO_0008088,CL_0001064,UBERON_0002048,-
thymus,A,-,-,UBERON_0003483,BTO_0001374
BT-474_breast_invasive_ductal_carcinoma_HRG,CL,CLO_0002042,CL_0000068,UBERON_0008367,BTO_0001932
2489,-,-,-,-,-
MCF7L-P_0h,CL,CLO_0007606,CL_0002326,UBERON_0001911,BTO_0000093
parietal lobe fetal donor1,A,-,-,UBERON_0001872,BTO_0001001
CD4_ab_T_Th,CT,-,CL_0000492,-,BTO_0005453
Smooth Muscle Cells - Tracheal donor1,CT,-,CL_0019019,UBERON_0003126,BTO_0004403
SK-N-SH_neuroblastoma,CL,-,CL_0000165,UBERON_0002371,BTO_0001620
HCCLM3,CL,-,CL_0000182,UBERON_0002107,BTO_0004469
Gingival epithelial cells donor3 (GEA15),CT,-,CL_0002621,UBERON_0001949,BTO_0002242
U266B1,CL,-,CL_0000786,UBERON_0000361,BTO_0000727
OVCAR-3,CL,CLO_0008171,CL_2000064,UBERON_0000992,BTO_0000812
SW620,CL,-,CL_0002253,UBERON_0037531,BTO_0000675
TC-32,CL,CLO_0009280,-,UBERON_0002481,BTO_0004227
SNU16,CL,CLO_0009095,CL_0002178,UBERON_0006924,BTO_0004987
RPMI-8226,CL,-,CL_0000786,UBERON_0002371,BTO_0000726
GM06077,CL,-,CL_0017006,UBERON_0013756,BTO_0003335
OCI-LY10_diffuse_large_B-cell_lymphoma,CL,CLO_0050883,CL_0001200,UBERON_0000029,OCI-LY7 cell
Astrocyte_Oligo_1,CT,-,CL_0000127,UBERON_0001017,BTO_0003144
hFOB_1_19_fetal_osteoblast,CL,-,CL_0000062,UBERON_0002481,BTO_0005224
primordial-germ-cell-like-cell,CT,-,CL_0000670,UBERON_0005294,BTO_0005319
H441,CL,CLO_0008087,CL_0010003,UBERON_0000115,BTO_0001910
AMIPS6,-,-,-,-,-
MO91,CL,CLO_0007815,CL_0000532,UBERON_0018376,BTO_0005491
T3M-3,CL,CLO_0009366,-,-,BTO_0002864
Excitatory_neur_cerebrum_7,CT,-,CL_0000679,-,BTO_0003102
Stromal_intestine_3,CT,-,CL_0009022,UBERON_0000160,BTO_0002064
Synoviocyte donor2,CT,-,CL_0000057,UBERON_0002018,BTO_0004060
GM04648,CL,-,CL_0017006,UBERON_0013756,BTO_0003335
UACC-62,CL,-,CL_0000148,UBERON_0002097,BTO_0004152
normal intestinal epithelial cell line:FHs 74 Int,CL,CLO_0003245,CL_0002563,UBERON_0002108,BTO_0005147
heart adult diseased post-infarction donor1,A,-,-,UBERON_0002349,BTO_0000901
S462_PRC2 mutant,CL,CLO_0036938,CLO_0001064,UBERON_0000010,BTO_0005316
FL10,CL,CLO_0035699,CL_0007023,-,BTO_0003130
GM12878_Lymphoblastoid,CL,CLO_0022563,CL_0017006,UBERON_0013756,BTO_0006353
PC-9,CL,-,CL_0010003,UBERON_0000115,BTO_0005518
MOLM-13_empty vector,CL,CLO_0033967,CL_0000766,UBERON_0012429,BTO_0004175
IMR32,CL,CLO_0006948,CL_0002676,UBERON_0001236,BTO_0000934
neutrophils,CT,-,CL_0000096,UBERON_0013756,BTO_0000130
iPS-15b Cells,CL,CLO_0037307,CL_0002248,-,BTO_0006078
HMEC_human_mammary_epithelial_cells,CT,-,CL_0002326,UBERON_0001911,BTO_0004300
LNCaP_prostate_carcinoma_SHFOXA1_R1881,CL,-,CL_0002231,UBERON_0002367,BTO_0006095
T_cell_C,CT,-,CL_0000084,UBERON_0010393,BTO_0006566
IMR90_lung_fibroblasts_SENES_SHP53,CL,CLO_0006951,CLO_0002553,UBERON_0002048,BTO_0001229
V389,CL,-,-,-,BTO_0003719
LNCaP_prostate_carcinoma_DHT24H_SHFOXA1,CL,-,CL_0002231,UBERON_0002367,BTO_0006095
Day6 Plasmablast CD23- memory B cell,CT,-,CL_0001202,-,BTO_0000392
Pre_B_healthy,CT,-,CL_0000817,UBERON_0002371,BTO_0001133
HL-60_CTRL,CL,CLO_0003775,CL_0000835,UBERON_0013756,BTO_0000738
GIST882_Gastrointestinal_stromal_tumor,CL,CLO_0001877,CL_0001063,UBERON_0005409,-
Ciliated_cells_C,CT,-,CL_0005012,UBERON_0002031,BTO_0006170
Myeloid_heart,CT,-,CL_0000763,UBERON_0001133,BTO_0004732
CTR shCtrl,-,-,-,-,-
left ventricle_LV1558,A,-,-,UBERON_0002084,BTO_0001629
neutrophils_US,CT,-,CL_0000096,UBERON_0013756,BTO_0000130
breast_tumour_metastasis,CT,-,CL_0002326,UBERON_0001911,BTO_0004851
T (PB),CL,CLO_0000400,CL_0000542,UBERON_0001969,BTO_0001045
SKMEL30,CL,CLO_0009045,CL_0000148,UBERON_0002097,BTO_0002133
RL_WT_gRNA1,CL,CLO_0008828,CL_0001200,UBERON_0001744,BTO_0006365
SGBS_adipocyte,CT,-,CL_0000448,UBERON_0002190,BTO_0006429
HUES64 derived CD184+ endoderm,CT,-,CL_0000223,UBERON_0000925,BTO_0000800
mesothelioma cell line:ACC-MESO-1,CL,CLO_0006972,CL_0000077,UBERON_0003390,BTO_0005907
primary-prostate-cancer,CT,-,CL_0002231,UBERON_0002367,BTO_0001130
Matrix_Fibrob_2_F,CT,-,CL_0000057,UBERON_0002384,BTO_0000452
RH18,CL,CLO_0008812,CLO_0001064,UBERON_0001134,BTO_0005380
GM06990,CL,-,CL_0017006,-,BTO_0002062
NB4,CL,CLO_0007947,CL_0000836,UBERON_0013756,BTO_0006043
GP5d_colon_adenocarcinoma,CL,CLO_0003555,COL_1001588,UBERON_0000059,BTO_0005459
migratory langerhans cells donor1,CT,-,CL_0000453,UBERON_0001003,BTO_0000705
kidney-cortex,A,-,-,UBERON_0001225,BTO_0001166
GM13977_female_B-cells,CL,-,CL_0000945,UBERON_0013756,BTO_0002062
lower_leg_skin,CT,-,CLO_0000312,UBERON_0004264,BTO_0000667
M0-91_acute_myeloid_leukemia_27A_100UM,CL,-,CL_0000835,UBERON_0002371,BTO_0003449
GBM34,CT,-,CL_0000030,UBERON_0003961,BTO_0006345
SUM149,CL,-,CLO_0002327,UBERON_0001911,BTO_0005475
H82,CL,-,CL_0000165,UBERON_0002031,BTO_0003026
AsPC1 WT,CL,-,CL_1001433,UBERON_0001264,BTO_0001864
MDAMB231,CL,-,CLO_0002327,UBERON_0008367,BTO_0000815
iPS DF 6.9 cells,CL,CLO_0037320,CL_0002248,UBERON_0003585,BTO_0006078
NHEK-epidermal keratinocyte,CT,-,CLO_0000312,UBERON_0001003,BTO_0000667
CRC_myeloid_1,CT,-,CL_0000763,UBERON_0012652,BTO_0000906
ES-I3 cells,CL,CLO_0002950,CL_0002322,UBERON_0000087,BTO_0001582
KYAE1,CL,CLO_0031472,CL_0001016,-,BTO_0006197
left_ventricle,A,-,-,UBERON_0002084,BTO_0001629
Foreskin Fibroblast Primary Cells skin02,CT,-,CL_1001608,UBERON_0001471,BTO_0002245
Lymphoid_intestine_0,CT,-,CL_0000542,UBERON_0003454,BTO_0001096
HeLa_2_high,CL,CLO_0003699,CL_1001587,UBERON_0000002,BTO_0000567
MDA-MB-231,CL,-,CLO_0000234,UBERON_0001911,BTO_0004955
A549 TEAD2 shRNA TGFb,CL,-,CL_0010003,UBERON_0002048,BTO_0000018
Th17-IL-10+ Day 0,CT,-,CL_0000899,-,BTO_0005655
CD34,CT,-,CL_0001024,UBERON_0002371,BTO_0000725
GM09237,CL,-,CL_0017006,UBERON_0013756,BTO_0002062
Thymic_epithelial_thymus,CT,-,CL_0002293,UBERON_0002370,BTO_0004562
Lateral temporal lobe_6T_AD,A,-,-,UBERON_0001871,BTO_0001355
Whole blood (ribopure) donor090612 donation1,A,-,-,UBERON_0000178,BTO_0000089
RT242,CL,CLO_0008891,-,-,BTO_0004506
BI_Adipose_Nuclei,CT,-,CL_0000136,UBERON_0001013,BTO_0000443
NMFH-1,CL,-,-,-,-
Primary T cells from cord blood,CT,-,CL_0001043,UBERON_0012168,BTO_0000782
testis adult pool2,A,-,-,UBERON_0000473,BTO_0001363
CD14-positive-monocyte,CT,-,CL_0001054,UBERON_0013756,BTO_0000876
Pancreas_Unknown.1_pancreas,A,-,-,UBERON_0001264,BTO_0000988
effector memory CD4+ alpha-beta T cell,CT,-,CL_0001087,UBERON_0010393,BTO_0003435
INR1G9,-,-,-,-,-
embryonic heart_CS22,A,-,-,UBERON_0011695,BTO_0000562
Mesothelial_intestine,CT,-,CL_0009024,UBERON_0001243,-
psoas muscle,A,-,-,UBERON_0001298,BTO_0000621
SNU484,CL,CLO_0009102,CL_0002659,UBERON_0001276,BTO_0003479
monocyte-derived dendritic cells_R848_1h,CT,-,CL_0011031,UBERON_0000178,BTO_0002900
MCF10CA1a_breast_metastatic_epithelial_cells,CL,CLO_0037239,CL_0002327,UBERON_0001911,BTO_0001939
CD14+ monocytes - treated with Cryptococcus donor3,CT,-,CL_0001054,UBERON_0013756,BTO_0000876
kelly_DMSO_3h,CL,-,CL_0000031,UBERON_0002371,BTO_0000932
gastric adenocarcinoma cell line:MKN45,CL,-,CLO_0002659,UBERON_0001199,BTO_0001225
BT20,CL,CLO_0002041,CL_0002327,UBERON_0001911,BTO_0001466
Primary T cells from?peripheral?blood,CT,-,CL_0000542,UBERON_0013756,BTO_0000782
primaryhepatocyte-gw4064,CT,-,CL_0000182,UBERON_0002107,BTO_0000575
surface_ectoderm_cells,CT,-,CL_0000114,UBERON_0000076,BTO_0000315
RPE1-anaphase/telophase,CT,-,CL_0002586,UBERON_0005424,BTO_0002334
Plasma_B_BCC,CT,-,CL_0000946,UBERON_0002025,BTO_0000776
testicular germ cell embryonal carcinoma cell line:NEC14,CL,-,CL_0001064,UBERON_0000473,CLO_0006532
SU-DHL-4,CL,CLO_0037061,CL_0001200,UBERON_0000029,BTO_0006462
Hair Follicle Dermal Papilla Cells donor1,CT,-,CL_0000346,UBERON_0000412,BTO_0005569
PrEC,CL,-,CL_0002231,UBERON_0002367,BTO_0002398
IMR-90,CL,CLO_0006951,CL_2000042,UBERON_0002048,BTO_0001229
endometrioid_adenocarcinoma,CT,-,CL_0002656,UBERON_0001295,BTO_0000194
diffuse large B-cell lymphoma cell line:CTB-1,CL,-,CL_0001200,UBERON_0000029,-
bipolar_spindle_neuron,CT,-,CL_4030039,UBERON_0009835,BTO_0004778
NCI0075,CL,CLO_0050176,CLO_0002128,-,NCI-N87 cell : <BTO_0003053>
226LDM_normal_breast_luminal_cells,CL,-,CL_0002326,UBERON_0001911,-
SW620_colon_adenocarcinoma,CL,-,CL_1001588,UBERON_0000059,BTO_0000675
Epidermal-Stem-Cells_shCTRL,CT,-,CL_1000428,UBERON_0001003,BTO_0005098
Schwann_heart,CT,-,CL_0002573,UBERON_0001133,BTO_0001220
Nucleus Pulposus Cell donor1,CT,-,CL_0002564,UBERON_0002242,BTO_0005497
KOPN-8,CL,CLO_0037178,CL_0017006,UBERON_0012429,KOPN-1 cell
OACM5.1,CL,-,CL_0002252,UBERON_0013473,BTO_0004621
neural-cell,CT,-,CL_0002319,UBERON_0001016,BTO_0000938
Placental Epithelial Cells donor1,CT,-,CL_0011101,UBERON_0001987,BTO_0004774
foreskin_keratinocyte,CT,-,CL_0000312,UBERON_0001471,BTO_0000667
CD8_H9RET,CT,-,CL_0001049,-,BTO_0000289
NCI-H378_p8-15,CL,CLO_0008086,CL_0000082,UBERON_0002048,-
Neutrophils donor1,CT,-,CL_0000096,UBERON_0013756,BTO_0000130
SW872_TAZ_CAMTA1,CL,-,CL_0000136,UBERON_0001013,BTO_0003743
adenocarcinoma cell line:IM95m,CL,CLO_0037516,CL_0000150,-,BTO_0005908
CD8_ab_T_CB,CT,-,CL_0000794,UBERON_0012168,BTO_0004410
Megakaryo_liver,CT,-,CL_0000556,UBERON_0002107,BTO_0000843
CMP CD4+_3,CT,-,CL_0001059,UBERON_0002371,BTO_0004730
Placenta_Amnion,A,-,-,UBERON_0009002,BTO_0001005
BJ,CL,CLO_0000251,CL_0002620,UBERON_0001471,BTO_0002245
RL95-2,CL,CLO_0035621,CL_0009084,UBERON_0001295,BTO_0004491
Human Embryonic Kidney Cell,CT,-,CL_0002518,UBERON_0005095,BTO_0002733
Y79,CL,-,CL_4023129,UBERON_0000966,BTO_0002920
umbilical cord Fibroblast,CT,-,CL_0000057,UBERON_0002331,BTO_0001209
BA40,A,-,-,-,BTO_0002495
mesothelioma cell line:Mero-84,CL,-,CL_0000077,UBERON_0003390,-
gm19240,CL,CLO_0027330,CL_0017006,UBERON_0000178,BTO_0003335
CD4+CD25+CD45RA- memory regulatory T cells donor3,CT,-,CL_0002678,UBERON_0010393,BTO_0003435
signet ring carcinoma cell line:NUGC-4,CL,-,CL_0001064,UBERON_0001199,BTO_0005917
Stomach Smooth Muscle,A,-,-,UBERON_0004222,BTO_0001818
Skeletal Muscle Myoblast,CT,-,CL_0008017,UBERON_0001134,BTO_0004392
iPS_19.11,CL,CLO_0037308,CL_0002248,-,BTO_0006078
A549_dexamethasone_12h,CL,DA01545 cell : <CLO_0021446>,CL_0002063,UBERON_0004821,BTO_0005816
Adrenocortical_adrenal_8,CT,-,CL_0002097,UBERON_0009753,BTO_0005817
NPC_1,CT,-,CL_0011020,UBERON_0001017,BTO_0002881
NPC_2,CT,-,CL_0011020,UBERON_0001017,BTO_0002881
anaplastic large cell lymphoma cell line:Ki-JK,CL,CLO_0003393,CL_0001063,UBERON_0001744,BTO_0006215
H1 Derived Mesenchymal Stem Cells,CL,CLO_0037280,CL_0000134,UBERON_0009142,BTO_0001581
H1 Derived Neuronal Progenitor Cultured Cells,CL,CLO_0037280,CL_0011020,UBERON_0001017,BTO_0001581
Molt4,CL,CLO_0007825,CL_0002420,UBERON_0012429,BTO_0002504
epithelial,CT,-,CL_0000066,UBERON_0000483,BTO_0000414
squamous cell carcinoma cell line:T3M-5,CL,CLO_0009366,CL_0000076,UBERON_0006914,BTO_0002864
SVOG3e_cells_Dox_12h_transduced with V5-FOXL2 C134W,CL,CLO_0009170,CL_0000501,UBERON_0000992,BTO_0005892
CRC_myeloid_2,CT,-,CL_0000763,UBERON_0013067,BTO_0004721
RPTEC,CT,-,CL_0002306,UBERON_0009773,BTO_0006154
CMP_BMP,CT,-,CL_0001059,UBERON_0012429,BTO_0004730
du145,CL,CLO_0030824,CL_0002231,UBERON_0002367,BTO_0001332
leiomyoma cell line:10964C,CL,-,CL_0002601,UBERON_0001296,BTO_0003252
DAUDI,CL,-,CL_0001200,UBERON_0001744,-
NG108-15,-,-,-,-,-
BE2C_DMSO,CL,CLO_0009053,-,-,BTO_0004782
MDA-MB-231-Erbeta_E2_TNFa,CL,-,CL_0002327,UBERON_0001911,BTO_0004955
DHL-9,CL,-,-,-,BTO_0001617
ZR_75_1,CL,CLO_0009727,CL_0002327,UBERON_0001911,BTO_0003136
U2OS_osteosarcoma_SHRCTR,CL,-,CL_0001064,UBERON_2001192,BTO_0001938
foreskin-keratinocyte-calcium2.5day,CT,-,CLO_0000312,UBERON_0001471,BTO_0000667
caudate nucleus - adult donor10196,A,-,-,UBERON_0001873,BTO_0000211
LNCaP_prostate_carcinoma_SIFOXA1_TNFA,CL,CLO_0026667,CL_0002231,UBERON_0002367,BTO_0006095
adrenal gland 54y,A,-,-,UBERON_0002369,BTO_0000047
ESC,CT,-,CL_0002322,UBERON_0000087,BTO_0001086
Stromal_muscle,CT,-,CL_0011027,UBERON_0001134,BTO_0003952
NCI-H1963,CL,-,CL_0002632,UBERON_0002048,BTO_0005976
BIN-67_SMARCA4.T910M,CL,-,-,UBERON_0000992,BTO_0005818
JR1 shCtrl,CL,CLO_0021445,CLO_0001063,-,BTO_0005718
EndoC-BH1_human_pancreatic_beta_cell_line,CL,-,CL_0000168,UBERON_0000006,-
Burkitt's lymphoma cell line:RAJI,CL,CLO_0008734,CL_0001200,UBERON_0001744,-
retinoblastoma cell line:Y79,CL,-,CL_4023129,UBERON_0000966,BTO_0002920
Colo205,CL,CLO_0011076,CLO_0011108,UBERON_0000397,BTO_0000179
left ventricle_DCM_LV1262,A,-,-,UBERON_0002084,BTO_0001629
Uterus,A,-,-,UBERON_0000995,BTO_0001424
left ventricle_LV1215,A,-,-,UBERON_0002084,BTO_0001629
Stromal_stomach,CT,-,CL_0000186,UBERON_0001161,BTO_0003952
ONE58,CL,CLO_0023192,-,-,-
mammary_epithelial_cells,CT,-,CL_0002326,UBERON_0001911,BTO_0004300
M0_VB,CT,-,CL_0000235,-,BTO_0000801
HASM2_Human_airway_smooth_muscle_2,CL,CLO_0000641,CL_0002598,UBERON_0002186,BTO_0004402
